name,weight
manage resources for educational purposes,207
SAP R3,207
ensure safety of healthcare users,207
develop project schedule,207
report on social development,205
apply quality standards in social services,205
"""assess social service users situation""",205
promote social change,204
social sciences,204
deliver social services in diverse cultural communities,204
dismantle broken appliances,204
maintain records of work with service users,203
perform safety data analysis,203
analyse financial risk,203
follow work schedule,203
create a financial plan,202
follow health and safety precautions in social care practices,202
undertake continuous professional development in social work,202
build helping relationship with social service users,202
implement strategic planning,202
manage social crisis,201
communicate professionally with colleagues in other fields,201
communicate with social service users,201
budgetary principles,201
Pascal (computer programming),201
Perl,201
Scratch (computer programming),201
SAS language,201
MATLAB,200
manage stress in organisation,200
provide social counselling,200
apply socially just working principles,200
contribute to protecting individuals from harm,200
analyse consumer buying trends,200
mechanical engineering,200
perform multiple tasks at the same time,200
Scala,199
Haskell,199
R,198
APL,198
demonstrate leadership in social service cases,198
food legislation,198
internal risk management policy,197
C++,197
Common Lisp,197
Groovy,197
Assembly (computer programming),197
ABAP,197
report analysis results,197
nuclear energy,196
C#,196
ML (computer programming),195
inspect construction supplies,195
radiation protection,195
prepare production prototypes,195
advocate for social service users,195
environmental legislation,195
perform laboratory tests,195
manage project information,195
facilitate official agreement,194
ASP.NET,194
Erlang,194
COBOL,194
diplomatic principles,194
first aid,193
types of metal,193
communicate by telephone,193
Python (computer programming),193
obtain financial information,193
work in multidisciplinary health teams,193
OpenEdge Advanced Business Language,192
PHP,192
VBScript,192
building codes,192
supply chain management,192
TypeScript,191
provide health education,191
Lisp,190
Ruby (computer programming),190
empathise with the healthcare user,190
Smalltalk (computer programming),189
liaise with engineers,189
apply decision making within social work,188
keep personal administration,188
electrical engineering,188
interact with healthcare users,188
finish project within budget,188
fix meetings,187
apply strategic thinking,186
review social service plan,186
analyse legislation,186
apply holistic approach within social services,185
prevent social problems,185
Swift (computer programming),185
CoffeeScript,185
design drawings,185
manage profitability,185
resource description framework query language,185
ensure compliance with construction project deadline,185
maintain personal hygiene standards,184
coordinate events,184
organise cultural events,184
manage school budget,184
collect samples for analysis,184
comply with legal regulations,184
"""maintain students discipline""",184
advise on foreign affairs policies,184
provide first aid,183
Prolog (computer programming),183
query languages,183
assess the development of youth,182
financial jurisdiction,181
apply statistical analysis techniques,181
involve service users and carers in care planning,181
handle chemical cleaning agents,181
operate precision measuring equipment,181
use technical documentation,180
remove processed workpiece,180
financial forecasting,180
human anatomy,180
corporate law,179
analyse foreign affairs policies,179
maintain privacy of service users,179
follow nuclear plant safety precautions,179
post-secondary school procedures,178
manage accounts,178
integrate strategic foundation in daily performance,178
immigration law,178
architecture regulations,177
tobacco brands,177
lead board meetings,177
schedule shifts,176
establish collaborative relations,176
provide information to customers on tobacco products,176
impart business plans to collaborators,176
business law,176
encourage students to acknowledge their achievements,175
financial markets,175
comply with quality standards related to healthcare practice,175
"""promote service users rights""",175
use IT tools,175
analyse test data,174
laboratory techniques,174
analyse work-related written reports,174
work in a construction team,174
ICT security legislation,174
manage space utilisation,173
apply context specific clinical competences,173
conduct interview in social service,173
maintain equipment,173
meet standards of practice in social services,172
assess environmental impact,172
chemistry,172
advise legislators,172
enforce regulations of selling tobacco to minors,172
apply problem solving in social service,171
business process modelling,171
distinguish accessories,171
protect vulnerable social service users,170
food preservation,169
distinguish fabrics,169
